Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1581.0,-0.58,6.03,7.0,4.22
1583.0,-1.08,6.26,6.56,4.2
1586.0,-1.66,6.62,6.19,4.22
1588.0,-2.26,7.03,5.98,4.2
1591.0,-2.72,7.62,5.9,4.2
1593.0,-3.03,8.09,5.94,4.17
1596.0,-3.15,8.67,6.02,4.2
1598.0,-3.22,9.24,5.85,4.2
1601.0,-3.06,9.77,6.12,4.2
1603.0,-3.17,10.32,5.54,4.21
1606.0,-2.91,10.65,5.96,4.22
1608.0,-2.87,11.08,5.78,4.22
1611.0,-2.9,11.6,5.73,4.22
1613.0,-2.98,11.89,5.41,4.2
1616.0,-3.16,12.34,5.15,4.22
1618.0,-3.21,12.52,5.18,4.22
1620.0,-3.21,12.69,5.34,4.19
1623.0,-3.18,12.72,5.55,4.2
1625.0,-2.8,12.56,5.68,4.22
1628.0,-2.48,12.33,5.94,4.2
1638.0,-1.83,10.81,7.14,4.22
1640.0,-1.72,10.38,7.69,4.22
1643.0,-1.7,9.91,8.02,4.22
1645.0,-1.85,9.37,8.26,4.2
1648.0,-2.02,8.76,8.5,4.22
1650.0,-2.25,8.2,8.81,4.22
1653.0,-2.47,7.59,9.19,4.2
1655.0,-2.77,7.06,9.48,4.22
1658.0,-3.05,6.47,9.51,4.22
1660.0,-3.29,5.92,9.72,4.22
1663.0,-3.49,5.3,9.97,4.22
1665.0,-3.66,4.58,10.16,4.2
1668.0,-3.65,3.88,10.44,4.2
1670.0,-3.63,3.15,10.52,4.22
