Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1462.0,-0.8,9.43,2.35,4.17
1464.0,-0.72,9.41,2.43,4.19
1467.0,-0.74,9.41,2.43,4.19
1469.0,-0.8,9.47,2.46,4.17
1472.0,-0.84,9.41,2.55,4.17
1474.0,-0.87,9.39,2.52,4.17
1477.0,-0.78,9.36,2.57,4.17
1479.0,-0.8,9.39,2.64,4.17
1482.0,-0.85,9.35,2.59,4.19
1484.0,-0.84,9.36,2.69,4.19
1487.0,-0.81,9.4,2.73,4.19
1489.0,-0.78,9.43,2.78,4.17
1492.0,-0.78,9.33,2.73,4.18
1494.0,-0.77,9.36,2.82,4.17
1497.0,-0.8,9.36,2.78,4.17
1499.0,-0.83,9.34,2.81,4.17
1502.0,-0.82,9.33,2.85,4.2
1504.0,-0.88,9.29,2.81,4.2
1507.0,-0.92,9.3,2.76,4.17
1509.0,-0.87,9.3,2.79,4.19
1519.0,-1.0,9.19,2.84,4.17
1522.0,-0.91,9.18,2.81,4.19
1524.0,-0.94,9.24,2.81,4.19
1527.0,-0.93,9.2,2.74,4.17
1529.0,-0.76,9.25,2.8,4.17
1532.0,-0.79,9.17,2.82,4.19
1534.0,-0.75,9.19,2.92,4.17
1537.0,-0.75,9.18,2.85,4.17
1539.0,-0.73,9.09,2.93,4.17
1542.0,-0.7,9.05,3.04,4.17
1544.0,-0.57,9.12,3.07,4.17
1547.0,-0.6,9.13,3.13,4.19
1549.0,-0.53,9.08,3.19,4.19
1552.0,-0.47,9.1,3.33,4.17
1554.0,-0.47,9.07,3.32,4.19
1557.0,-0.37,9.04,3.4,4.19
1559.0,-0.42,9.12,3.44,4.17
1562.0,-0.32,9.17,3.51,4.18
1564.0,-0.32,9.07,3.51,4.19
1567.0,-0.26,9.08,3.59,4.17
1569.0,-0.33,9.08,3.6,4.19
1572.0,-0.4,9.13,3.56,4.19
1574.0,-0.36,9.21,3.69,4.17
1577.0,-0.4,9.23,3.65,4.18
1579.0,-0.45,9.23,3.63,4.15
1582.0,-0.41,9.27,3.68,4.17
1584.0,-0.42,9.24,3.69,4.17
1587.0,-0.45,9.23,3.68,4.17
1589.0,-0.4,9.3,3.75,4.19
1591.0,-0.34,9.22,3.74,4.17
1594.0,-0.3,9.29,3.86,4.19
1597.0,-0.35,9.42,3.94,4.19
1599.0,-0.25,9.42,3.9,4.17
1601.0,-0.19,9.56,3.89,4.17
1604.0,-0.18,9.6,4.05,4.19
1606.0,-0.12,9.77,4.05,4.18
1609.0,-0.06,9.93,4.1,4.17
1611.0,-0.1,9.96,4.17,4.17
1621.0,0.2,10.26,4.28,4.2
1624.0,0.22,10.45,4.27,4.17
1626.0,0.29,10.46,4.39,4.18
1629.0,0.39,10.61,4.47,4.17
1631.0,0.45,10.82,4.44,4.17
1634.0,0.55,10.98,4.28,4.19
1636.0,0.59,11.14,4.16,4.18
1639.0,0.63,11.36,3.99,4.2
1641.0,0.72,11.59,3.88,4.17
1644.0,0.74,11.7,3.72,4.17
1646.0,0.73,11.83,3.65,4.19
1649.0,0.79,12.01,3.5,4.18
1651.0,0.84,12.08,3.39,4.17
1654.0,0.82,12.15,3.4,4.19
1656.0,0.9,12.22,3.19,4.14
1659.0,0.99,12.17,3.13,4.17
1661.0,1.16,12.18,2.97,4.19
1664.0,1.33,12.1,2.99,4.17
1666.0,1.31,12.17,2.75,4.19
1669.0,1.48,12.07,2.84,4.17
1671.0,1.46,12.08,2.75,4.17
1674.0,1.43,12.19,2.5,4.17
